Company,Year,Market Cap,Revenue,Total Assets
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
HP,2023,$30.92 B,$56.20 B,$38.58 B
HP,2022,$26.39 B,$62.98 B,$38.61 B
HP,2021,$40.78 B,$63.48 B,$34.68 B
HP,2020,$31.71 B,$56.63 B,$33.46 B
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
HP,2023,$30.92 B,$56.20 B,$38.58 B
HP,2022,$26.39 B,$62.98 B,$38.61 B
HP,2021,$40.78 B,$63.48 B,$34.68 B
HP,2020,$31.71 B,$56.63 B,$33.46 B
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
HP,2023,$30.92 B,$56.20 B,$38.58 B
HP,2022,$26.39 B,$62.98 B,$38.61 B
HP,2021,$40.78 B,$63.48 B,$34.68 B
HP,2020,$31.71 B,$56.63 B,$33.46 B
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
HP,2023,$30.92 B,$56.20 B,$38.58 B
HP,2022,$26.39 B,$62.98 B,$38.61 B
HP,2021,$40.78 B,$63.48 B,$34.68 B
HP,2020,$31.71 B,$56.63 B,$33.46 B
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
HP,2023,$30.92 B,$56.20 B,$38.58 B
HP,2022,$26.39 B,$62.98 B,$38.61 B
HP,2021,$40.78 B,$63.48 B,$34.68 B
HP,2020,$31.71 B,$56.63 B,$33.46 B
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
HP,2023,$30.92 B,$56.20 B,$38.58 B
HP,2022,$26.39 B,$62.98 B,$38.61 B
HP,2021,$40.78 B,$63.48 B,$34.68 B
HP,2020,$31.71 B,$56.63 B,$33.46 B
HP,2019,$29.86 B,$58.75 B,$34.62 B
HP,2018,$31.78 B,$58.47 B,$32.91 B
HP,2017,$34.56 B,$52.05 B,$29.01 B
HP,2016,$25.30 B,$48.23 B,$106.88 B
HP,2015,$20.91 B,$103.35 B,$103.20 B
HP,2014,$73.60 B,$111.45 B,$105.67 B
HP,2013,$53.40 B,$112.29 B,$108.76 B
HP,2012,$27.76 B,$120.35 B,$129.51 B
HP,2011,$51.10 B,$127.24 B,$124.50 B
HP,2010,$92.21 B,$126.03 B,$114.79 B
HP,2009,$121.77 B,$114.55 B,$113.33 B
HP,2008,$87.68 B,$118.36 B,$88.69 B
HP,2007,$129.92 B,$104.28 B,$81.98 B
HP,2006,$112.07 B,$91.65 B,$77.31 B
HP,2005,$81.24 B,$86.69 B,$76.13 B
HP,2004,$61.02 B,$79.90 B,$74.70 B
HP,2003,$69.89 B,$73.06 B,$70.71 B
HP,2002,$52.93 B,$56.58 B,$32.58 B
HP,2001,$39.82 B,$45.22 B,$134.38 B
HP,OracleORCL,$327.47 B,$54.89 B,$132.21 B
HP,IBMIBM,$133.41 B,$49.95 B,$10.56 B
HP,XeroxXRX,$2.51 B,$60.52 B,$3.67 B
HP,SupermicroSMCI,$13.73 B,$7.16 B,$38.48 B
